,Area,Item,Unit,Value,Sentence
184194,Sweden,Prevalence of low birthweight (percent),%,4.1,In Sweden the Prevalence of low birthweight (percent) is 4.1 %
184239,Sweden,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1952,In Sweden the Minimum dietary energy requirement  (kcal/cap/day) is 1952 kcal/cap/d
184263,Sweden,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2539,In Sweden the Average dietary energy requirement (kcal/cap/day) is 2539 kcal/cap/d
184287,Sweden,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.21,In Sweden the Coefficient of variation of habitual caloric consumption distribution (real number) is 0.21 No
184311,Sweden,Incidence of caloric losses at retail distribution level (percent),%,1.9,In Sweden the Incidence of caloric losses at retail distribution level (percent) is 1.9 %
184326,Sweden,Average fat supply (g/cap/day) (3-year average),g/cap/d,137.6,In Sweden the Average fat supply (g/cap/day) (3-year average) is 137.6 g/cap/d
184348,Switzerland,Average dietary energy supply adequacy (percent) (3-year average),%,132,In Switzerland the Average dietary energy supply adequacy (percent) (3-year average) is 132 %
184372,Switzerland,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,3371,In Switzerland the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 3371 kcal/cap/d
184394,Switzerland,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,3376,In Switzerland the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 3376 kcal/cap/d
184409,Switzerland,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,26,"In Switzerland the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 26 %"
184424,Switzerland,Average protein supply (g/cap/day) (3-year average),g/cap/d,103.7,In Switzerland the Average protein supply (g/cap/day) (3-year average) is 103.7 g/cap/d
184439,Switzerland,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,66.3,In Switzerland the Average supply of protein of animal origin (g/cap/day) (3-year average) is 66.3 g/cap/d
184461,Switzerland,Rail lines density (total route in km per 100 square km of land area),km,10,In Switzerland the Rail lines density (total route in km per 100 square km of land area) is 10 km
184484,Switzerland,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,83019.8,"In Switzerland the Gross domestic product per capita, PPP, (constant 2017 international $) is 83019.8 Int$/cap"
184506,Switzerland,Prevalence of undernourishment (percent) (3-year average),%,<2.5,In Switzerland the Prevalence of undernourishment (percent) (3-year average) is <2.5 %
184560,Switzerland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,1.4,In Switzerland the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 1.4 %
184568,Switzerland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,0.8,In Switzerland the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 0.8 %
184576,Switzerland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,2,In Switzerland the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 2 %
184584,Switzerland,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,0.9,In Switzerland the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 0.9 %
184592,Switzerland,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,<0.5,In Switzerland the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is <0.5 %
184600,Switzerland,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,1.2,In Switzerland the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 1.2 %
184632,Switzerland,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,2.7,In Switzerland the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 2.7 %
184640,Switzerland,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,1.9,In Switzerland the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 1.9 %
184648,Switzerland,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,3.6,In Switzerland the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 3.6 %
184656,Switzerland,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,2.2,In Switzerland the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 2.2 %
184664,Switzerland,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,1.6,In Switzerland the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 1.6 %
184672,Switzerland,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,2.8,In Switzerland the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 2.8 %
184831,Switzerland,Cereal import dependency ratio (percent) (3-year average),%,62.3,In Switzerland the Cereal import dependency ratio (percent) (3-year average) is 62.3 %
184852,Switzerland,Percent of arable land equipped for irrigation (percent) (3-year average),%,1.3,In Switzerland the Percent of arable land equipped for irrigation (percent) (3-year average) is 1.3 %
184873,Switzerland,Value of food imports in total merchandise exports (percent) (3-year average),%,3,In Switzerland the Value of food imports in total merchandise exports (percent) (3-year average) is 3 %
184895,Switzerland,Political stability and absence of violence/terrorism (index),,1.16,
184919,Switzerland,Per capita food supply variability (kcal/cap/day),kcal/cap/d,35,In Switzerland the Per capita food supply variability (kcal/cap/day) is 35 kcal/cap/d
184942,Switzerland,Percentage of population using safely managed drinking water services (percent),%,97,In Switzerland the Percentage of population using safely managed drinking water services (percent) is 97 %
184965,Switzerland,Percentage of population using at least basic drinking water services (percent),%,99,In Switzerland the Percentage of population using at least basic drinking water services (percent) is 99 %
184988,Switzerland,Percentage of population using safely managed sanitation services (percent),%,99,In Switzerland the Percentage of population using safely managed sanitation services (percent) is 99 %
185011,Switzerland,Percentage of population using at least basic sanitation services (percent),%,99,In Switzerland the Percentage of population using at least basic sanitation services (percent) is 99 %
185034,Switzerland,Percentage of children under 5 years affected by wasting (percent),%,,In Switzerland the Percentage of children under 5 years affected by wasting (percent) is nan %
185081,Switzerland,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,,In Switzerland the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is nan %
185127,Switzerland,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,,In Switzerland the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is nan %
185173,Switzerland,Prevalence of obesity in the adult population (18 years and older) (percent),%,12.1,In Switzerland the Prevalence of obesity in the adult population (18 years and older) (percent) is 12.1 %
185196,Switzerland,Number of obese adults (18 years and older) (million),million No,0.9,In Switzerland the Number of obese adults (18 years and older) (million) is 0.9 million No
185216,Switzerland,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,11.3,In Switzerland the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 11.3 %
185259,Switzerland,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,In Switzerland the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is nan %
185280,Switzerland,Prevalence of low birthweight (percent),%,6.4,In Switzerland the Prevalence of low birthweight (percent) is 6.4 %
185325,Switzerland,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1965,In Switzerland the Minimum dietary energy requirement  (kcal/cap/day) is 1965 kcal/cap/d
185349,Switzerland,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2555,In Switzerland the Average dietary energy requirement (kcal/cap/day) is 2555 kcal/cap/d
185373,Switzerland,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.2,In Switzerland the Coefficient of variation of habitual caloric consumption distribution (real number) is 0.2 No
185397,Switzerland,Incidence of caloric losses at retail distribution level (percent),%,1.77,In Switzerland the Incidence of caloric losses at retail distribution level (percent) is 1.77 %
